============ Experience Table =============
Level 1  - XP: 0
Level 2  - XP: 300
Level 3  - XP: 1260
Level 4  - XP: 2760
Level 5  - XP: 4920
Level 6  - XP: 7860
Level 7  - XP: 11700
Level 8  - XP: 16560
Level 9  - XP: 22560
Level 10 - XP: 29820
Level 11 - XP: 38460
Level 12 - XP: 48600
Level 13 - XP: 60360
Level 14 - XP: 73860
Level 15 - XP: 104580
Level 16 - XP: 139260
Level 17 - XP: 178140
Level 18 - XP: 221460
Level 19 - XP: 269460
Level 20 - XP: 322380
Level 21 - XP: 380460
Level 22 - XP: 443940
Level 23 - XP: 513060
Level 24 - XP: 588060
Level 25 - XP: 669180
Level 26 - XP: 756660
Level 27 - XP: 850740
Level 28 - XP: 951660
Level 29 - XP: 1059660
Level 30 - XP: 1174980
Level 31 - XP: 1297860
Level 32 - XP: 1428540
Level 33 - XP: 1567260
Level 34 - XP: 1714260
Level 35 - XP: 1869780
Level 36 - XP: 2034060
Level 37 - XP: 2207340
Level 38 - XP: 2389860
Level 39 - XP: 2581860
Level 40 - XP: 3220640
Level 41 - XP: 3890960
Level 42 - XP: 4593580
Level 43 - XP: 5329260
Level 44 - XP: 6098760
Level 45 - XP: 6902840
Level 46 - XP: 7742260
Level 47 - XP: 8617780
Level 48 - XP: 9530160
Level 49 - XP: 10480160
Level 50 - XP: 11468540
Level 51 - XP: 12496060
Level 52 - XP: 13563480
Level 53 - XP: 14671560
Level 54 - XP: 15821060
Level 55 - XP: 17012740
Level 56 - XP: 18247360
Level 57 - XP: 19525680
Level 58 - XP: 20848460
Level 59 - XP: 22216460
Level 60 - XP: 27425860
Level 61 - XP: 32807460
Level 62 - XP: 38364060
Level 63 - XP: 44098460
Level 64 - XP: 50013460
Level 65 - XP: 56111860
Level 66 - XP: 62396460
Level 67 - XP: 68870060
Level 68 - XP: 75535460
Level 69 - XP: 82395460
Level 70 - XP: 89452860
Level 71 - XP: 96710460
Level 72 - XP: 104171060
Level 73 - XP: 111837460
Level 74 - XP: 119712460
Level 75 - XP: 127798860
Level 76 - XP: 136099460
Level 77 - XP: 144617060
Level 78 - XP: 153354460
Level 79 - XP: 162314460
Level 80 - XP: 195119460
Level 81 - XP: 228739460
Level 82 - XP: 263184460
Level 83 - XP: 326688460
Level 84 - XP: 391713460
Level 85 - XP: 487861460
Level 86 - XP: 586258460
Level 87 - XP: 686930460
Level 88 - XP: 789903460
Level 89 - XP: 895203460
Level 90 - XP: 1002856460
Level 91 - XP: 1112888460
Level 92 - XP: 1225325460
Level 93 - XP: 1340193460
Level 94 - XP: 1457518460
Level 95 - XP: 1577326460
Level 96 - XP: 1699643460
Level 97 - XP: 1824495460
Level 98 - XP: 1951908460
Level 99 - XP: 2081908460
