============ HP Table =============
-------------- Class Adventurer --------------
Level 1  - HP: 205
Level 2  - HP: 221
Level 3  - HP: 238
Level 4  - HP: 256
Level 5  - HP: 275
Level 6  - HP: 295
Level 7  - HP: 316
Level 8  - HP: 338
Level 9  - HP: 361
Level 10 - HP: 385
Level 11 - HP: 410
Level 12 - HP: 436
Level 13 - HP: 463
Level 14 - HP: 491
Level 15 - HP: 520
Level 16 - HP: 550
Level 17 - HP: 581
Level 18 - HP: 613
Level 19 - HP: 646
Level 20 - HP: 680
Level 21 - HP: 715
Level 22 - HP: 751
Level 23 - HP: 788
Level 24 - HP: 826
Level 25 - HP: 865
Level 26 - HP: 905
Level 27 - HP: 946
Level 28 - HP: 988
Level 29 - HP: 1031
Level 30 - HP: 1075
Level 31 - HP: 1120
Level 32 - HP: 1166
Level 33 - HP: 1213
Level 34 - HP: 1261
Level 35 - HP: 1310
Level 36 - HP: 1360
Level 37 - HP: 1411
Level 38 - HP: 1463
Level 39 - HP: 1516
Level 40 - HP: 1570
Level 41 - HP: 1625
Level 42 - HP: 1681
Level 43 - HP: 1738
Level 44 - HP: 1796
Level 45 - HP: 1855
Level 46 - HP: 1915
Level 47 - HP: 1976
Level 48 - HP: 2038
Level 49 - HP: 2101
Level 50 - HP: 2165
Level 51 - HP: 2230
Level 52 - HP: 2296
Level 53 - HP: 2363
Level 54 - HP: 2431
Level 55 - HP: 2500
Level 56 - HP: 2570
Level 57 - HP: 2641
Level 58 - HP: 2713
Level 59 - HP: 2786
Level 60 - HP: 2860
Level 61 - HP: 2935
Level 62 - HP: 3011
Level 63 - HP: 3088
Level 64 - HP: 3166
Level 65 - HP: 3245
Level 66 - HP: 3325
Level 67 - HP: 3406
Level 68 - HP: 3488
Level 69 - HP: 3571
Level 70 - HP: 3655
Level 71 - HP: 3740
Level 72 - HP: 3826
Level 73 - HP: 3913
Level 74 - HP: 4001
Level 75 - HP: 4090
Level 76 - HP: 4180
Level 77 - HP: 4271
Level 78 - HP: 4363
Level 79 - HP: 4456
Level 80 - HP: 4550
Level 81 - HP: 4645
Level 82 - HP: 4741
Level 83 - HP: 4838
Level 84 - HP: 4936
Level 85 - HP: 5035
Level 86 - HP: 5135
Level 87 - HP: 5236
Level 88 - HP: 5338
Level 89 - HP: 5441
Level 90 - HP: 5545
Level 91 - HP: 5650
Level 92 - HP: 5756
Level 93 - HP: 5863
Level 94 - HP: 5971
Level 95 - HP: 6080
Level 96 - HP: 6190
Level 97 - HP: 6301
Level 98 - HP: 6413
Level 99 - HP: 6526

-------------- Class Swordman --------------
Level 1  - HP: 946
Level 2  - HP: 946
Level 3  - HP: 946
Level 4  - HP: 946
Level 5  - HP: 946
Level 6  - HP: 946
Level 7  - HP: 946
Level 8  - HP: 946
Level 9  - HP: 946
Level 10 - HP: 946
Level 11 - HP: 946
Level 12 - HP: 946
Level 13 - HP: 946
Level 14 - HP: 946
Level 15 - HP: 946
Level 16 - HP: 946
Level 17 - HP: 1031
Level 18 - HP: 1075
Level 19 - HP: 1166
Level 20 - HP: 1261
Level 21 - HP: 1360
Level 22 - HP: 1463
Level 23 - HP: 1516
Level 24 - HP: 1625
Level 25 - HP: 1738
Level 26 - HP: 1855
Level 27 - HP: 1976
Level 28 - HP: 2038
Level 29 - HP: 2165
Level 30 - HP: 2296
Level 31 - HP: 2431
Level 32 - HP: 2570
Level 33 - HP: 2641
Level 34 - HP: 2786
Level 35 - HP: 2935
Level 36 - HP: 3088
Level 37 - HP: 3245
Level 38 - HP: 3325
Level 39 - HP: 3488
Level 40 - HP: 3655
Level 41 - HP: 3826
Level 42 - HP: 4001
Level 43 - HP: 4090
Level 44 - HP: 4271
Level 45 - HP: 4456
Level 46 - HP: 4645
Level 47 - HP: 4838
Level 48 - HP: 4936
Level 49 - HP: 5135
Level 50 - HP: 5338
Level 51 - HP: 5545
Level 52 - HP: 5756
