============ SP Experience Table =============
-------------- Primary SP --------------
Level 1  - XP: 15000
Level 2  - XP: 25000
Level 3  - XP: 35000
Level 4  - XP: 45000
Level 5  - XP: 55000
Level 6  - XP: 65000
Level 7  - XP: 75000
Level 8  - XP: 85000
Level 9  - XP: 95000
Level 10 - XP: 105000
Level 11 - XP: 115000
Level 12 - XP: 125000
Level 13 - XP: 135000
Level 14 - XP: 145000
Level 15 - XP: 155000
Level 16 - XP: 165000
Level 17 - XP: 175000
Level 18 - XP: 185000
Level 19 - XP: 195000
Level 20 - XP: 218000
Level 21 - XP: 225566
Level 22 - XP: 233888
Level 23 - XP: 243002
Level 24 - XP: 252944
Level 25 - XP: 263750
Level 26 - XP: 275456
Level 27 - XP: 288098
Level 28 - XP: 301712
Level 29 - XP: 316334
Level 30 - XP: 332000
Level 31 - XP: 348746
Level 32 - XP: 366608
Level 33 - XP: 385622
Level 34 - XP: 405824
Level 35 - XP: 427250
Level 36 - XP: 449936
Level 37 - XP: 473918
Level 38 - XP: 499232
Level 39 - XP: 525914
Level 40 - XP: 554000
Level 41 - XP: 583526
Level 42 - XP: 614528
Level 43 - XP: 647042
Level 44 - XP: 681104
Level 45 - XP: 716750
Level 46 - XP: 754016
Level 47 - XP: 792938
Level 48 - XP: 833552
Level 49 - XP: 875894
Level 50 - XP: 920000
Level 51 - XP: 965906
Level 52 - XP: 1013648
Level 53 - XP: 1063262
Level 54 - XP: 1114784
Level 55 - XP: 1168250
Level 56 - XP: 1223696
Level 57 - XP: 1281158
Level 58 - XP: 1340672
Level 59 - XP: 1402274
Level 60 - XP: 1466000
Level 61 - XP: 1531886
Level 62 - XP: 1599968
Level 63 - XP: 1670282
Level 64 - XP: 1742864
Level 65 - XP: 1817750
Level 66 - XP: 1894976
Level 67 - XP: 1974578
Level 68 - XP: 2056592
Level 69 - XP: 2141054
Level 70 - XP: 2228000
Level 71 - XP: 2317466
Level 72 - XP: 2409488
Level 73 - XP: 2504102
Level 74 - XP: 2601344
Level 75 - XP: 2701250
Level 76 - XP: 2803856
Level 77 - XP: 2909198
Level 78 - XP: 3017312
Level 79 - XP: 3128234
Level 80 - XP: 3242000
Level 81 - XP: 3358646
Level 82 - XP: 3478208
Level 83 - XP: 3600722
Level 84 - XP: 3726224
Level 85 - XP: 3854750
Level 86 - XP: 3986336
Level 87 - XP: 4121018
Level 88 - XP: 4258832
Level 89 - XP: 4399814
Level 90 - XP: 4544000
Level 91 - XP: 4691426
Level 92 - XP: 4842128
Level 93 - XP: 4996142
Level 94 - XP: 5153504
Level 95 - XP: 5314250
Level 96 - XP: 5478416
Level 97 - XP: 5646038
Level 98 - XP: 5817152
Level 99 - XP: 5991794

-------------- Secondary SP --------------
Level 1  - XP: 0
Level 2  - XP: 10000
Level 3  - XP: 10000
Level 4  - XP: 10000
Level 5  - XP: 10000
Level 6  - XP: 10000
Level 7  - XP: 10000
Level 8  - XP: 10000
Level 9  - XP: 10000
Level 10 - XP: 10000
Level 11 - XP: 10000
Level 12 - XP: 10000
Level 13 - XP: 10000
Level 14 - XP: 10000
Level 15 - XP: 10000
Level 16 - XP: 10000
Level 17 - XP: 10000
Level 18 - XP: 10000
Level 19 - XP: 10000
Level 20 - XP: 10000
Level 21 - XP: 100000
Level 22 - XP: 100500
Level 23 - XP: 101000
Level 24 - XP: 101500
Level 25 - XP: 102000
Level 26 - XP: 102500
Level 27 - XP: 103000
Level 28 - XP: 103500
Level 29 - XP: 104000
Level 30 - XP: 104500
Level 31 - XP: 105000
Level 32 - XP: 105500
Level 33 - XP: 106000
Level 34 - XP: 106500
Level 35 - XP: 107000
Level 36 - XP: 107500
Level 37 - XP: 108000
Level 38 - XP: 108500
Level 39 - XP: 1
Level 40 - XP: 1
Level 41 - XP: 1
Level 42 - XP: 1
Level 43 - XP: 1
Level 44 - XP: 1
Level 45 - XP: 1
Level 46 - XP: 1
Level 47 - XP: 1
Level 48 - XP: 1
Level 49 - XP: 1
Level 50 - XP: 1
Level 51 - XP: 1
Level 52 - XP: 1
Level 53 - XP: 1
Level 54 - XP: 1
Level 55 - XP: 1
Level 56 - XP: 1
Level 57 - XP: 1
Level 58 - XP: 1
Level 59 - XP: 1
Level 60 - XP: 1
Level 61 - XP: 1
Level 62 - XP: 1
Level 63 - XP: 1
Level 64 - XP: 1
Level 65 - XP: 1
Level 66 - XP: 1
Level 67 - XP: 1
Level 68 - XP: 1
Level 69 - XP: 1
Level 70 - XP: 1
Level 71 - XP: 1
Level 72 - XP: 1
Level 73 - XP: 1
Level 74 - XP: 1
Level 75 - XP: 1
Level 76 - XP: 1
Level 77 - XP: 1
Level 78 - XP: 1
Level 79 - XP: 1
Level 80 - XP: 1
Level 81 - XP: 1
Level 82 - XP: 1
Level 83 - XP: 1
Level 84 - XP: 1
Level 85 - XP: 1
Level 86 - XP: 1
Level 87 - XP: 1
Level 88 - XP: 1
Level 89 - XP: 1
Level 90 - XP: 1
Level 91 - XP: 1
Level 92 - XP: 1
Level 93 - XP: 1
Level 94 - XP: 1
Level 95 - XP: 1
Level 96 - XP: 1
Level 97 - XP: 1
Level 98 - XP: 1
Level 99 - XP: 1
